Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
70,42,92,2,75,15,64,37,50,90,28,61
74,30,88,86,27,97,77,100,52,74,60,25
61,89,6,32,75,67,35,31,75,93,9,46
79,41,85,10,0,14,13,87,61,88,47,80
25,37,15,57,95,34,78,24,45,89,35,27
97,56,6,67,14,11,82,82,1,20,64,77
38,39,81,56,98,29,5,32,91,4,46,13
15,96,89,67,4,77,40,78,4,34,61,5
72,30,47,73,43,45,24,33,11,87,82,98
36,46,43,76,46,94,0,71,47,97,88,38
19,27,50,43,92,63,75,21,26,45,26,96
42,47,98,72,97,71,95,88,84,56,89,45
22,8,92,48,54,58,26,2,53,91,85,96
20,46,2,100,56,24,17,65,13,47,39,86
44,1,35,5,7,16,100,38,85,53,24,92
70,79,65,20,23,58,26,29,27,93,30,34
90,5,64,25,43,74,37,53,9,0,56,24
82,62,44,9,68,28,69,11,29,71,2,70
8,22,67,84,97,19,41,32,69,64,16,86
0,58,54,3,28,50,16,69,60,19,29,61
21,41,23,74,72,63,8,99,50,79,30,63
67,56,6,73,53,1,23,51,35,33,45,17
47,58,3,93,19,52,6,80,6,75,98,67
13,26,44,68,7,94,88,56,45,31,95,20
67,82,32,86,18,53,41,65,100,90,27,10
68,21,48,54,67,88,50,72,45,82,73,8
35,61,47,72,49,1,13,87,46,40,53,6
45,47,14,58,34,48,8,7,5,90,86,82
16,,99,36,30,51,58,76,9,92,49,80
12,,77,57,37,75,63,43,2,4,51,92
75,,19,,26,,1,32,,99,,26
